house_title,house_location,house_money,house_url
【合租】天通苑 天通苑西二区 3室主卧,天通苑西二区,2590,http://bj.58.com/pinpaigongyu/28089977227960x.shtml
【合租】物资学院路 慧合公寓 3室主卧,【合租】物资学院路,2260,http://bj.58.com/pinpaigongyu/27935224164304x.shtml
【整租】高碑店 青遇home 1室1厅,青遇home,2300,http://bj.58.com/pinpaigongyu/28109166918468x.shtml
【合租】西二旗 融泽嘉园2号院 4室次卧,融泽嘉园2号院,2090,http://bj.58.com/pinpaigongyu/28079544436137x.shtml
【合租】回龙观 回龙观新村东区 4室主卧,回龙观新村东区,2790,http://bj.58.com/pinpaigongyu/27702809078855x.shtml
【合租】朝青板块 金隅汇星苑 3室次卧,金隅汇星苑,2450,http://bj.58.com/pinpaigongyu/27825985949363x.shtml
【合租】西三旗 常秀家园 3室主卧,常秀家园,2500,http://bj.58.com/pinpaigongyu/27712287726143x.shtml
【合租】定福庄 泰福苑三区 3室次卧,泰福苑三区,2360,http://bj.58.com/pinpaigongyu/28087922159915x.shtml
【整租】十八里店 如果寓 1室1厅,如果寓,2970,http://bj.58.com/pinpaigongyu/27669000312648x.shtml
【合租】朝阳公园 姚家园西里一号院 3室主卧,姚家园西里一号院,2480,http://bj.58.com/pinpaigongyu/27966220814914x.shtml
【合租】姚家园 姚家园东里 2室次卧,姚家园东里,2180,http://bj.58.com/pinpaigongyu/27835055346752x.shtml
【整租】高碑店 通盛公寓 1室0厅,【整租】高碑店,2000,http://bj.58.com/pinpaigongyu/27707747547311x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2780,http://bj.58.com/pinpaigongyu/27835502224558x.shtml
【合租】物资学院路 新建村 3室次卧,新建村,2090,http://bj.58.com/pinpaigongyu/27869667421131x.shtml
【合租】芍药居 芍药居北里 3室主卧,芍药居北里,2800,http://bj.58.com/pinpaigongyu/27704224146619x.shtml
【整租】亦庄 蜂 客公寓 1室1厅,蜂,2880,http://bj.58.com/pinpaigongyu/28065244573771x.shtml
【合租】亚运村 卧龙小区 4室主卧,卧龙小区,3000,http://bj.58.com/pinpaigongyu/27647624258881x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2780,http://bj.58.com/pinpaigongyu/27832742191947x.shtml
【整租】长阳 碧波园 2室1厅,碧波园,2600,http://bj.58.com/pinpaigongyu/27750325337929x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2780,http://bj.58.com/pinpaigongyu/27832742191947x.shtml
【整租】后沙峪 新国展国际公寓 1室1厅,【整租】后沙峪,2000,http://bj.58.com/pinpaigongyu/28023028043447x.shtml
【整租】亦庄 蜂客公寓 1室0厅,【整租】亦庄,2880,http://bj.58.com/pinpaigongyu/27690738449845x.shtml
【合租】常营 保利嘉园 3室次卧,保利嘉园,2620,http://bj.58.com/pinpaigongyu/28025254827190x.shtml
【合租】芍药居 吉利家园 4室主卧,吉利家园,2800,http://bj.58.com/pinpaigongyu/27615110910637x.shtml
【合租】姚家园 姚家园西里一号院 3室主卧,姚家园西里一号院,2380,http://bj.58.com/pinpaigongyu/27966255652684x.shtml
【整租】高碑店 青遇HOME 1室0厅,青遇HOME,2300,http://bj.58.com/pinpaigongyu/28103441843659x.shtml
【整租】高碑店 超级蜂巢 1室0厅,超级蜂巢,2900,http://bj.58.com/pinpaigongyu/27812798999618x.shtml
【合租】北苑 北苑1号院 5室次卧,北苑1号院,2600,http://bj.58.com/pinpaigongyu/27700786998337x.shtml
【整租】亦庄 蜂客公寓 1室0厅,【整租】亦庄,2880,http://bj.58.com/pinpaigongyu/28010498649662x.shtml
【合租】龙泽 融泽嘉园 3室主卧,融泽嘉园,2490,http://bj.58.com/pinpaigongyu/28090312028346x.shtml
【合租】朝青板块 金隅汇星苑 4室主卧,金隅汇星苑,2750,http://bj.58.com/pinpaigongyu/27834350623811x.shtml
【整租】上地 上地办公中心 1室1厅,上地办公中心,2800,http://bj.58.com/pinpaigongyu/27669238020158x.shtml
【合租】物资学院路 慧合公寓 3室主卧,【合租】物资学院路,2260,http://bj.58.com/pinpaigongyu/27812531373890x.shtml
【合租】常营 北辰福第二号院 3室次卧,北辰福第二号院,2260,http://bj.58.com/pinpaigongyu/28032198816184x.shtml
【合租】物资学院路 慧合公寓 3室主卧,【合租】物资学院路,2060,http://bj.58.com/pinpaigongyu/27755703953360x.shtml
【合租】姚家园 姚家园西里5号院 3室次卧,姚家园西里5号院,2380,http://bj.58.com/pinpaigongyu/27737869180601x.shtml
【合租】常营 慧合公寓 3室主卧,【合租】常营,2260,http://bj.58.com/pinpaigongyu/27925010771660x.shtml
【合租】朝青板块 姚家园西里2号院 3室主卧,姚家园西里2号院,2990,http://bj.58.com/pinpaigongyu/27845566719803x.shtml
【合租】天通苑 天通苑北三区 3室主卧,天通苑北三区,2790,http://bj.58.com/pinpaigongyu/27824575148852x.shtml
【合租】朝阳公园 姚家园西里 3室主卧,姚家园西里,2480,http://bj.58.com/pinpaigongyu/28042966133437x.shtml
【整租】立水桥 立水桥 立水桥 1室1厅,立水桥,2880,http://bj.58.com/pinpaigongyu/27718738544187x.shtml
【合租】芍药居 芍药居北里 5室主卧,芍药居北里,2350,http://bj.58.com/pinpaigongyu/27822119531079x.shtml
【整租】高碑店 青遇home 1室1厅,青遇home,2300,http://bj.58.com/pinpaigongyu/28098949603778x.shtml
【合租】亚运村 大屯里 4室主卧,大屯里,2900,http://bj.58.com/pinpaigongyu/27813564817740x.shtml
【合租】姚家园 姚家园西里一号院 3室主卧,姚家园西里一号院,2380,http://bj.58.com/pinpaigongyu/28121218539971x.shtml
【合租】亚运村 安慧北里 3室次卧,安慧北里,2000,http://bj.58.com/pinpaigongyu/28056880056779x.shtml
【合租】双桥 金隅康惠园 3室主卧,金隅康惠园,2450,http://bj.58.com/pinpaigongyu/28076577973688x.shtml
【合租】北苑 美立方 3室主卧,美立方,2200,http://bj.58.com/pinpaigongyu/27646111672272x.shtml
【合租】亚运村 卧龙小区 4室主卧,卧龙小区,3000,http://bj.58.com/pinpaigongyu/27692854167239x.shtml
【整租】双桥 新动漫公寓 1室0厅,【整租】双桥,2400,http://bj.58.com/pinpaigongyu/28123217689296x.shtml
【合租】朝阳公园 姚家园东里 3室次卧,姚家园东里,2280,http://bj.58.com/pinpaigongyu/28077120762944x.shtml
【整租】亦庄 好客公寓（荣京东 1室0厅,【整租】亦庄,2790,http://bj.58.com/pinpaigongyu/27760683937852x.shtml
【整租】高碑店 通盛公寓 1室0厅,【整租】高碑店,2000,http://bj.58.com/pinpaigongyu/27529431039291x.shtml
【合租】亚运村 逸园甲11号楼 5室主卧,逸园甲11号楼,2600,http://bj.58.com/pinpaigongyu/27822638479822x.shtml
【合租】北苑 美立方 3室主卧,美立方,2100,http://bj.58.com/pinpaigongyu/27712292730055x.shtml
【合租】姚家园 姚家园西里5号院 3室主卧,姚家园西里5号院,2580,http://bj.58.com/pinpaigongyu/28044637198145x.shtml
【整租】新国展 空港公寓 1室1厅,【整租】新国展,2000,http://bj.58.com/pinpaigongyu/28056152091336x.shtml
【合租】四惠 观音惠园 3室主卧,观音惠园,2500,http://bj.58.com/pinpaigongyu/28043899384254x.shtml
【合租】亚运村 嘉铭桐城C区 5室次卧,嘉铭桐城C区,2550,http://bj.58.com/pinpaigongyu/27689464477261x.shtml
【合租】北苑 北卫家园 3室主卧,北卫家园,2400,http://bj.58.com/pinpaigongyu/27690837754437x.shtml
【合租】物资学院路 慧合公寓 3室主卧,【合租】物资学院路,2260,http://bj.58.com/pinpaigongyu/28089587849422x.shtml
【整租】天竺 天竺豪华花园洋房 1室1厅,天竺豪华花园洋房,2100,http://bj.58.com/pinpaigongyu/27712066534194x.shtml
【整租】高碑店 青遇HOME 1室0厅,青遇HOME,2300,http://bj.58.com/pinpaigongyu/28010545528392x.shtml
【合租】梨园 群芳一园 3室主卧,群芳一园,2000,http://bj.58.com/pinpaigongyu/28000621887789x.shtml
【整租】双桥 新动力小区 1室0厅,新动力小区,2400,http://bj.58.com/pinpaigongyu/28125572361531x.shtml
【整租】高碑店 通盛公寓 1室0厅,【整租】高碑店,2000,http://bj.58.com/pinpaigongyu/27529655146934x.shtml
【合租】常营 北辰福第 3室主卧,北辰福第,2260,http://bj.58.com/pinpaigongyu/28020855845815x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2780,http://bj.58.com/pinpaigongyu/27745686544323x.shtml
【合租】龙泽 融泽嘉园 3室次卧,融泽嘉园,2100,http://bj.58.com/pinpaigongyu/27713795882170x.shtml
【合租】芍药居 芍药居4号院 4室主卧,芍药居4号院,3000,http://bj.58.com/pinpaigongyu/27822499940541x.shtml
【合租】朝阳公园 姚家园西里一号院 3室主卧,姚家园西里一号院,2480,http://bj.58.com/pinpaigongyu/28000358320719x.shtml
【合租】国贸 朝阳旺角 3室主卧,朝阳旺角,2800,http://bj.58.com/pinpaigongyu/27735641593414x.shtml
【合租】酒仙桥 芳园里 3室次卧,芳园里,2600,http://bj.58.com/pinpaigongyu/27635822560052x.shtml
【整租】亦庄 蜂客公寓 1室0厅,【整租】亦庄,2880,http://bj.58.com/pinpaigongyu/28031871315906x.shtml
【整租】高碑店 青遇home 1室1厅,青遇home,2300,http://bj.58.com/pinpaigongyu/28125020170696x.shtml
【合租】常营  4室主卧,4室主卧,2890,http://bj.58.com/pinpaigongyu/27824481637582x.shtml
【整租】高碑店 青遇home 1室1厅,青遇home,2300,http://bj.58.com/pinpaigongyu/28003057193667x.shtml
【合租】姚家园 姚家园东里 3室次卧,姚家园东里,2380,http://bj.58.com/pinpaigongyu/27701753803565x.shtml
【合租】西三旗 知本时代 3室次卧,知本时代,2790,http://bj.58.com/pinpaigongyu/27824414859449x.shtml
【合租】常营 慧合公寓 3室主卧,【合租】常营,2260,http://bj.58.com/pinpaigongyu/27681687467439x.shtml
【整租】高碑店 青遇HOME 1室0厅,青遇HOME,2300,http://bj.58.com/pinpaigongyu/28010552877484x.shtml
【合租】霍营 上坡家园 3室次卧,上坡家园,2390,http://bj.58.com/pinpaigongyu/27889650301101x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2780,http://bj.58.com/pinpaigongyu/27856459510967x.shtml
【合租】芍药居 芍药居北里 4室主卧,芍药居北里,2650,http://bj.58.com/pinpaigongyu/27670099373767x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2980,http://bj.58.com/pinpaigongyu/28009859456200x.shtml
【合租】通州北苑 杨庄北街1号院 3室主卧,杨庄北街1号院,2200,http://bj.58.com/pinpaigongyu/28026357724239x.shtml
【整租】高碑店 青遇home 1室1厅,青遇home,2300,http://bj.58.com/pinpaigongyu/28125057867694x.shtml
【合租】亚运村 安慧里一区 3室主卧,安慧里一区,2800,http://bj.58.com/pinpaigongyu/27733956040490x.shtml
【合租】管庄 汇鸿家园 3室次卧,汇鸿家园,2520,http://bj.58.com/pinpaigongyu/28076555830984x.shtml
【整租】高碑店 青遇home 1室1厅,青遇home,2300,http://bj.58.com/pinpaigongyu/28103020694079x.shtml
【合租】西二旗 融泽嘉园2号院 3室次卧,融泽嘉园2号院,2290,http://bj.58.com/pinpaigongyu/28077234402863x.shtml
【整租】亦庄 蜂客公寓 1室1厅,【整租】亦庄,2780,http://bj.58.com/pinpaigongyu/27938105393488x.shtml
【合租】回龙观 龙腾苑二区 4室主卧,龙腾苑二区,2990,http://bj.58.com/pinpaigongyu/27902421545922x.shtml
【合租】芍药居 芍药居小区 3室主卧,芍药居小区,2500,http://bj.58.com/pinpaigongyu/27715995041603x.shtml
【合租】姚家园 姚家园西里一号院 3室主卧,姚家园西里一号院,2680,http://bj.58.com/pinpaigongyu/27901603663440x.shtml
【合租】北苑 北苑家园绣菊园 3室主卧,北苑家园绣菊园,2100,http://bj.58.com/pinpaigongyu/27693582204218x.shtml
【合租】姚家园 姚家园西里一号院 3室主卧,姚家园西里一号院,2680,http://bj.58.com/pinpaigongyu/27901603663440x.shtml
【合租】双桥 金隅康惠园 3室次卧,金隅康惠园,2550,http://bj.58.com/pinpaigongyu/27825013021109x.shtml
【整租】良乡 睿府书香 1室1厅,睿府书香,2300,http://bj.58.com/pinpaigongyu/28089705497292x.shtml
【合租】芍药居 芍药居北里 3室主卧,芍药居北里,2700,http://bj.58.com/pinpaigongyu/27822397985458x.shtml
【整租】高碑店 通盛公寓 1室0厅,【整租】高碑店,2000,http://bj.58.com/pinpaigongyu/27707576693301x.shtml
【整租】高碑店 青遇home 1室1厅,青遇home,2300,http://bj.58.com/pinpaigongyu/28121313718212x.shtml
【合租】亚运村 慧忠北里 3室主卧,慧忠北里,2600,http://bj.58.com/pinpaigongyu/27822834569935x.shtml
【合租】梨园 华业东方玫瑰 3室主卧,华业东方玫瑰,2500,http://bj.58.com/pinpaigongyu/28002052645324x.shtml
【合租】龙泽 融泽嘉园 3室主卧,融泽嘉园,2690,http://bj.58.com/pinpaigongyu/27834384950186x.shtml
【合租】常营 保利嘉园一号院 4室次卧,保利嘉园一号院,2370,http://bj.58.com/pinpaigongyu/27990411868970x.shtml
【合租】双桥 朝阳旺角 3室主卧,朝阳旺角,2500,http://bj.58.com/pinpaigongyu/27724006573746x.shtml
【合租】常营 常营民族家园 5室主卧,常营民族家园,2690,http://bj.58.com/pinpaigongyu/27825689384116x.shtml
【合租】朝阳公园 姚家园西里 3室主卧,姚家园西里,2380,http://bj.58.com/pinpaigongyu/27855004402638x.shtml
【整租】亦庄 好客公寓 1室0厅,【整租】亦庄,2800,http://bj.58.com/pinpaigongyu/27670204329916x.shtml
【合租】亦庄 一品亦庄 2室主卧,一品亦庄,2100,http://bj.58.com/pinpaigongyu/27733734470206x.shtml
【合租】后沙峪 吉祥花园 3室次卧,吉祥花园,2280,http://bj.58.com/pinpaigongyu/27503853752513x.shtml
【合租】芍药居 芍药居北里 4室次卧,芍药居北里,2350,http://bj.58.com/pinpaigongyu/27670119003576x.shtml
【合租】姚家园 姚家园西里一号院 3室主卧,姚家园西里一号院,2480,http://bj.58.com/pinpaigongyu/28121281639875x.shtml
【合租】芍药居 芍药居北里 3室主卧,芍药居北里,2700,http://bj.58.com/pinpaigongyu/27822039381043x.shtml
【合租】亦庄 星岛嘉园三期 4室主卧,星岛嘉园三期,2350,http://bj.58.com/pinpaigongyu/27803338650040x.shtml
【合租】物资学院路 慧合公寓 3室主卧,【合租】物资学院路,2260,http://bj.58.com/pinpaigongyu/28122583926342x.shtml
【合租】姚家园 姚家园西里5号院 2室主卧,姚家园西里5号院,2380,http://bj.58.com/pinpaigongyu/27955058984144x.shtml
【整租】亦庄 荣昌东街地铁站 1室0厅,荣昌东街地铁站,2680,http://bj.58.com/pinpaigongyu/27767204961729x.shtml
【合租】姚家园 姚家园东里8号院 2室主卧,姚家园东里8号院,2680,http://bj.58.com/pinpaigongyu/28054027987515x.shtml
【合租】亚运村 大屯里 3室主卧,大屯里,2800,http://bj.58.com/pinpaigongyu/27712161112904x.shtml
【整租】双桥 新动漫公寓 1室1厅,【整租】双桥,2400,http://bj.58.com/pinpaigongyu/28090267452618x.shtml
【合租】西二旗 融泽嘉园2号院 3室次卧,融泽嘉园2号院,2400,http://bj.58.com/pinpaigongyu/27890647369034x.shtml
【合租】双桥 朝阳旺角 3室主卧,朝阳旺角,2600,http://bj.58.com/pinpaigongyu/28013872725711x.shtml
【合租】亚运村小营 安慧东里 3室次卧,安慧东里,2990,http://bj.58.com/pinpaigongyu/27825282070855x.shtml
